loan_id,Name,Gender,Marital_Status,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,loan_income_ratio,loan_asset_ratio,income_category,cibil_category,risk_level,eligibility_status
11,Barbara Lopez,Female,Married,4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved,25400000,3.86,0.44,Medium,Poor,Medium Risk,Not Eligible
12,Kenneth H. Garcia,Male,Single,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected,47900000,3.39,0.47,High,Poor,Medium Risk,Not Eligible
13,Sarah Moore,Female,Single,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected,34900000,2.32,0.33,Medium,Poor,Medium Risk,Not Eligible
14,Thomas M. Johnson,Male,Single,2,Graduate,Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved,53300000,3.46,0.59,Very High,Good,Medium Risk,Eligible
15,Joshua Hernandez,Male,Married,1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Rejected,10900000,3.89,0.68,Low,Poor,Medium Risk,Not Eligible
16,Elizabeth Rodriguez,Female,Married,5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved,30400000,2.28,0.35,Medium,Excellent,Low Risk,Eligible
17,Donna M. Wilson,Female,Single,2,Graduate,Yes,500000,1600000,4,663,1300000,100000,1300000,700000,Approved,3400000,3.2,0.47,Low,Good,Medium Risk,Eligible
18,Paul Thomas,Male,Single,4,Not Graduate,Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved,16700000,3.24,0.56,Medium,Excellent,Low Risk,Eligible
19,David N. Garcia,Male,Married,2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved,10500000,3.81,0.98,Medium,Good,Low Risk,Eligible
20,Betty Q. Martin,Female,Single,5,Graduate,No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Approved,43200000,2.32,0.34,High,Good,Medium Risk,Eligible
21,William Y. Moore,Male,Married,2,Graduate,No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected,35200000,3.88,0.55,Medium,Poor,Medium Risk,Not Eligible
22,Christopher Wilson,Male,Single,4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected,42700000,2.41,0.33,High,Poor,Medium Risk,Not Eligible
23,Kimberley D. Garcia,Female,Divorced,4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected,42800000,3.95,0.6,High,Poor,Medium Risk,Not Eligible
24,Kimberley Martin,Female,Single,0,Not Graduate,Yes,500000,1400000,2,551,900000,600000,1100000,300000,Approved,2900000,2.8,0.48,Low,Fair,Medium Risk,Eligible
25,Andrew T. Taylor,Male,Single,0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected,25800000,2.0,0.38,Medium,Poor,Medium Risk,Not Eligible
26,William Z. Lopez,Male,Single,5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,20200000,3.06,0.47,Medium,Poor,Medium Risk,Not Eligible
27,Thomas C. Jackson,Male,Married,4,Graduate,No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved,54600000,3.43,0.51,Very High,Good,Medium Risk,Eligible
28,Andrew Jones,Male,Married,4,Not Graduate,Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved,16600000,2.33,0.34,Low,Good,Medium Risk,Eligible
29,Charles N. Taylor,Male,Widowed,5,Not Graduate,Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected,51400000,3.43,0.47,High,Poor,Medium Risk,Not Eligible
30,Christopher U. Gonzalez,Male,Single,3,Not Graduate,Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved,75900000,3.5,0.42,Very High,Excellent,Low Risk,Eligible
31,Linda Davis,Female,Single,2,Not Graduate,No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected,60200000,2.58,0.42,Very High,Poor,Medium Risk,Not Eligible
32,Joshua Davis,Male,Married,2,Graduate,No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected,37000000,2.11,0.32,High,Poor,Medium Risk,Not Eligible
33,Thomas K. Williams,Male,Single,1,Not Graduate,Yes,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected,4100000,2.0,0.39,Low,Poor,Medium Risk,Not Eligible
34,Charles Thomas,Male,Single,5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved,33000000,2.62,0.67,Very High,Excellent,Low Risk,Eligible
35,Jessica G. Thomas,Female,Single,3,Graduate,No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved,35700000,2.43,0.33,Medium,Fair,Medium Risk,Eligible
36,Nancy Wilson,Female,Divorced,2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,12400000,2.0,0.27,Low,Good,Medium Risk,Eligible
37,William Johnson,Male,Single,3,Not Graduate,No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,10800000,3.88,0.57,Low,Fair,Medium Risk,Eligible
38,Thomas Miller,Male,Married,5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,30500000,3.4,0.89,Very High,Poor,Medium Risk,Not Eligible
39,Barbara Rodriguez,Female,Divorced,5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,21200000,2.14,0.36,Medium,Excellent,Low Risk,Eligible
40,Donald Moore,Male,Married,3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,6800000,3.4,0.75,Low,Poor,Medium Risk,Not Eligible
41,Michael Davis,Male,Married,1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,50500000,2.32,0.36,Very High,Good,Low Risk,Eligible
42,Anthony Johnson,Male,Single,2,Not Graduate,No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,70600000,2.74,0.35,Very High,Excellent,Low Risk,Eligible
43,Sarah Anderson,Female,Married,3,Graduate,No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,6400000,2.43,0.53,Low,Poor,Medium Risk,Not Eligible
44,Elizabeth Miller,Female,Widowed,2,Graduate,Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,6100000,2.88,0.38,Low,Poor,Medium Risk,Not Eligible
45,Daniel Johnson,Male,Married,5,Graduate,No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,40100000,2.06,0.33,High,Excellent,Low Risk,Eligible
46,Robert Taylor,Male,Single,4,Graduate,No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,51600000,3.48,0.54,Very High,Poor,Medium Risk,Not Eligible
47,Thomas Gonzalez,Male,Divorced,3,Not Graduate,Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,22900000,3.48,0.64,Medium,Good,Medium Risk,Eligible
48,Joshua Martin,Male,Single,1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,38700000,3.9,0.49,Medium,Good,Medium Risk,Eligible
49,Sarah K. Miller,Female,Single,3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,36100000,3.73,0.57,High,Fair,Medium Risk,Eligible
50,Elizabeth Martinez,Female,Divorced,1,Not Graduate,Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,60000000,2.01,0.32,Very High,Good,Medium Risk,Eligible
51,James S. Anderson,Male,Widowed,4,Graduate,No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,33300000,3.48,0.76,High,Poor,Medium Risk,Not Eligible
52,Andrew E. Miller,Male,Divorced,2,Graduate,No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,43400000,2.84,0.57,Very High,Poor,Medium Risk,Not Eligible
53,Thomas Lopez,Male,Married,5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,21500000,2.0,0.35,Medium,Good,Medium Risk,Eligible
54,Michelle Taylor,Female,Married,1,Not Graduate,Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,70300000,2.74,0.33,Very High,Good,Medium Risk,Eligible
55,Linda Jones,Female,Divorced,2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,39500000,3.86,0.5,High,Fair,Medium Risk,Eligible
56,Charles W. Martinez,Male,Single,5,Not Graduate,No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,29300000,3.66,0.84,High,Excellent,Low Risk,Eligible
57,Kimberley Thomas,Female,Divorced,2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,18100000,2.47,0.59,Medium,Poor,Medium Risk,Not Eligible
58,Michael B. Wilson,Male,Single,5,Graduate,Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,72900000,3.28,0.42,Very High,Excellent,Low Risk,Eligible
59,Charles R. Garcia,Male,Married,1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,49200000,2.49,0.37,High,Poor,Medium Risk,Not Eligible
60,William W. Williams,Male,Divorced,4,Not Graduate,Yes,5500000,18200000,16,797,0,4900000,18600000,4800000,Approved,28300000,3.31,0.64,High,Excellent,Low Risk,Eligible
61,Matthew N. Jackson,Male,Single,2,Not Graduate,No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,77400000,2.22,0.24,Very High,Poor,Medium Risk,Not Eligible
62,Nancy G. Johnson,Female,Married,3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,42400000,3.18,0.72,Very High,Good,Medium Risk,Eligible
63,Matthew N. Moore,Male,Widowed,5,Not Graduate,Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,65100000,3.28,0.44,Very High,Poor,Medium Risk,Not Eligible
64,Thomas Z. Garcia,Male,Single,3,Not Graduate,Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,20600000,2.27,0.36,Medium,Fair,Medium Risk,Eligible
65,Mary K. Garcia,Female,Married,4,Graduate,Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,30400000,3.15,0.4,Medium,Excellent,Low Risk,Eligible
66,Jessica Rodriguez,Female,Married,1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,33300000,2.51,0.31,Medium,Poor,Medium Risk,Not Eligible
67,Patricia Thomas,Female,Married,3,Not Graduate,No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,54000000,3.51,0.54,Very High,Good,Low Risk,Eligible
68,Nancy H. Martinez,Female,Single,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,9200000,3.74,1.1,Medium,Good,Medium Risk,Eligible
69,Anthony Hernandez,Male,Single,4,Graduate,No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,25900000,2.21,0.48,High,Excellent,Low Risk,Eligible
70,Nancy Taylor,Female,Widowed,0,Graduate,No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,14100000,2.63,0.35,Low,Poor,Medium Risk,Not Eligible
71,Mary I. Brown,Female,Single,4,Not Graduate,Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,2800000,3.0,0.54,Low,Poor,Medium Risk,Not Eligible
72,Patricia L. Brown,Female,Married,5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,28500000,3.51,0.65,High,Poor,Medium Risk,Not Eligible
73,Sandra D. Martin,Female,Single,5,Not Graduate,No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,59200000,2.61,0.31,High,Poor,Medium Risk,Not Eligible
74,Charles A. Johnson,Male,Married,3,Not Graduate,Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,31500000,2.88,0.53,High,Good,Low Risk,Eligible
75,Matthew Wilson,Male,Married,2,Not Graduate,No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,17900000,3.23,0.47,Medium,Poor,Medium Risk,Not Eligible
76,Michelle D. Hernandez,Female,Married,2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,9000000,3.42,0.72,Low,Good,Medium Risk,Eligible
77,Kimberley K. Martinez,Female,Married,4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,41300000,2.6,0.36,High,Good,Medium Risk,Eligible
78,Emily Jones,Female,Married,0,Graduate,No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved,67000000,3.72,0.5,Very High,Excellent,Low Risk,Eligible
79,Barbara M. Martin,Female,Married,2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,57400000,3.46,0.51,Very High,Fair,Medium Risk,Eligible
80,Christopher Martinez,Male,Married,0,Not Graduate,No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,5900000,2.0,0.24,Low,Fair,Medium Risk,Eligible
81,Margaret Anderson,Female,Single,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,17800000,2.54,0.5,Medium,Poor,Medium Risk,Not Eligible
82,Barbara Williams,Female,Married,0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,45300000,3.55,0.69,Very High,Excellent,Low Risk,Eligible
83,Jennifer H. Davis,Female,Married,2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,70300000,2.14,0.3,Very High,Poor,Medium Risk,Not Eligible
84,James Johnson,Male,Married,3,Graduate,No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,23300000,2.39,0.37,Medium,Fair,Medium Risk,Eligible
85,Donald S. Wilson,Male,Single,3,Not Graduate,Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,25500000,2.73,0.32,Medium,Good,Low Risk,Eligible
86,Ashley Gonzalez,Female,Married,2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,48700000,3.12,0.44,High,Poor,Medium Risk,Not Eligible
87,William Wilson,Male,Married,5,Not Graduate,Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,7900000,3.45,0.48,Low,Poor,Medium Risk,Not Eligible
88,Patricia Moore,Female,Married,1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,72100000,3.25,0.39,Very High,Poor,Medium Risk,Not Eligible
89,Elizabeth R. Anderson,Female,Married,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,14500000,4.0,0.55,Low,Excellent,Low Risk,Eligible
90,Michelle Taylor,Female,Divorced,2,Not Graduate,No,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved,55100000,3.84,0.68,Very High,Fair,Medium Risk,Eligible
91,Barbara Thomas,Female,Married,4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,23300000,3.7,0.91,High,Poor,Medium Risk,Not Eligible
92,Kimberley I. Thomas,Female,Married,4,Graduate,No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,57500000,2.35,0.36,Very High,Poor,Medium Risk,Not Eligible
93,Jessica Rodriguez,Female,Divorced,4,Graduate,No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,30400000,2.34,0.29,Medium,Excellent,Low Risk,Eligible
94,David Jones,Male,Married,1,Graduate,No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,9700000,3.76,0.66,Low,Poor,Medium Risk,Not Eligible
95,Michael Wilson,Male,Married,2,Graduate,No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,6100000,2.0,0.33,Low,Poor,Medium Risk,Not Eligible
96,Patricia M. Miller,Female,Divorced,5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,Approved,1700000,3.67,0.65,Low,Poor,Medium Risk,Not Eligible
97,Joshua Gonzalez,Male,Divorced,2,Graduate,Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,31200000,2.27,0.48,High,Poor,Medium Risk,Not Eligible
98,Betty X. Wilson,Female,Married,2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,53700000,2.87,0.47,Very High,Excellent,Low Risk,Eligible
99,Steven Davis,Male,Married,4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,84600000,3.13,0.35,Very High,Fair,Medium Risk,Eligible
100,Lisa O. Gonzalez,Female,Divorced,0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,25700000,2.45,0.42,Medium,Poor,Medium Risk,Not Eligible
101,Anthony A. Jackson,Male,Single,4,Not Graduate,No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,2100000,2.25,0.43,Low,Poor,Medium Risk,Not Eligible
102,Elizabeth Anderson,Female,Single,2,Not Graduate,Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,1200000,3.67,0.92,Low,Good,Low Risk,Eligible
103,Susan Anderson,Female,Married,2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,28800000,3.0,0.45,Medium,Fair,Medium Risk,Eligible
104,Sarah Wilson,Female,Single,4,Graduate,No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,8400000,2.81,0.54,Low,Fair,Medium Risk,Eligible
105,Andrew L. Johnson,Male,Single,5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected,61300000,3.81,0.38,High,Poor,Medium Risk,Not Eligible
106,Robert G. Smith,Male,Married,3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,29900000,2.31,0.32,Medium,Excellent,Low Risk,Eligible
107,Thomas Jones,Male,Single,4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,49500000,2.01,0.37,Very High,Excellent,Low Risk,Eligible
108,Donald F. Rodriguez,Male,Married,0,Graduate,No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,15700000,3.93,0.68,Medium,Fair,Medium Risk,Eligible
109,Richard Martinez,Male,Single,1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,58500000,3.7,0.61,Very High,Good,Low Risk,Eligible
110,Donna Gonzalez,Female,Married,2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,19000000,2.06,0.36,Medium,Poor,Medium Risk,Not Eligible
111,Joshua Davis,Male,Married,0,Not Graduate,No,300000,1100000,8,778,800000,200000,900000,100000,Approved,2000000,3.67,0.55,Low,Excellent,Low Risk,Eligible
112,Joshua Johnson,Male,Married,3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,31600000,2.46,0.58,High,Poor,Medium Risk,Not Eligible
113,Jennifer A. Taylor,Female,Married,5,Not Graduate,No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,48000000,2.77,0.41,High,Poor,Medium Risk,Not Eligible
114,Linda U. Wilson,Female,Divorced,5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,59200000,3.03,0.37,High,Excellent,Low Risk,Eligible
115,Elizabeth Wilson,Female,Married,1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,62700000,2.79,0.37,Very High,Poor,Medium Risk,Not Eligible
116,Michelle O. Moore,Female,Married,0,Not Graduate,Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,17600000,3.27,0.61,Medium,Excellent,Low Risk,Eligible
117,Lisa C. Davis,Female,Single,4,Not Graduate,Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,50400000,4.0,0.46,High,Poor,Medium Risk,Not Eligible
118,Jessica V. Anderson,Female,Single,0,Not Graduate,No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,4300000,2.67,0.37,Low,Fair,Medium Risk,Eligible
119,Steven Hernandez,Male,Single,0,Not Graduate,No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,50000000,2.19,0.32,High,Poor,Medium Risk,Not Eligible
120,Lisa W. Rodriguez,Female,Divorced,1,Not Graduate,Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,33700000,3.62,0.98,Very High,Good,Low Risk,Eligible
121,Paul Miller,Male,Married,5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,3800000,2.56,0.61,Low,Poor,Medium Risk,Not Eligible
122,Emily U. Davis,Female,Married,2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,4200000,4.0,0.76,Low,Poor,Medium Risk,Not Eligible
123,Mary Williams,Female,Married,1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,37300000,3.87,0.88,Very High,Fair,Medium Risk,Eligible
124,Christopher Jackson,Male,Married,0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,59000000,2.08,0.32,Very High,Excellent,Low Risk,Eligible
125,Sandra Moore,Female,Married,3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,50900000,2.79,0.38,High,Good,Low Risk,Eligible
126,Karen Rodriguez,Female,Married,3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,Approved,1100000,3.0,0.55,Low,Excellent,Low Risk,Eligible
127,Linda W. Moore,Female,Single,4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,2400000,2.0,0.33,Low,Excellent,Low Risk,Eligible
128,Steven Y. Rodriguez,Male,Married,3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,29900000,3.57,0.61,High,Poor,Medium Risk,Not Eligible
129,Linda Miller,Female,Single,2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,6400000,3.71,0.41,Low,Poor,Medium Risk,Not Eligible
130,Mary Moore,Female,Single,3,Graduate,No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,2100000,3.0,0.57,Low,Excellent,Low Risk,Eligible
131,Andrew E. Martinez,Male,Married,0,Not Graduate,Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,74300000,2.19,0.28,Very High,Fair,Medium Risk,Eligible
132,Linda P. Smith,Female,Married,5,Graduate,No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,39600000,2.57,0.57,Very High,Poor,Medium Risk,Not Eligible
133,Barbara Johnson,Female,Divorced,3,Not Graduate,Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,9100000,2.0,0.4,Low,Poor,Medium Risk,Not Eligible
134,Michael Gonzalez,Male,Married,4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,56100000,2.04,0.25,High,Poor,Medium Risk,Not Eligible
135,David J. Jones,Male,Single,3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,8600000,3.67,0.64,Low,Good,Low Risk,Eligible
136,William T. Moore,Male,Married,3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,7700000,3.44,0.71,Low,Poor,Medium Risk,Not Eligible
137,Paul Gonzalez,Male,Married,2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,26100000,3.63,0.64,Medium,Excellent,Low Risk,Eligible
138,Karen T. Jackson,Female,Widowed,5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,15400000,3.05,0.44,Low,Poor,Medium Risk,Not Eligible
139,Joseph Miller,Male,Single,3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,13400000,2.93,0.63,Medium,Fair,Medium Risk,Eligible
140,Richard Moore,Male,Single,0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,Rejected,1500000,3.5,0.47,Low,Poor,Medium Risk,Not Eligible
141,Michelle Thomas,Female,Single,2,Not Graduate,Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,23500000,3.76,0.4,Low,Good,Low Risk,Eligible
142,Margaret I. Williams,Female,Married,4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,17800000,2.08,0.42,Medium,Excellent,Low Risk,Eligible
143,Mark U. Brown,Male,Single,0,Graduate,Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,25500000,3.04,0.65,High,Excellent,Low Risk,Eligible
144,Elizabeth Williams,Female,Married,4,Not Graduate,No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,45700000,2.64,0.38,High,Poor,Medium Risk,Not Eligible
145,Margaret Brown,Female,Single,2,Graduate,Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,60400000,3.73,0.53,Very High,Excellent,Low Risk,Eligible
146,Sarah O. Taylor,Female,Single,5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,3600000,2.5,0.42,Low,Poor,Medium Risk,Not Eligible
147,Mark A. Hernandez,Male,Single,3,Graduate,Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,10000000,2.29,0.32,Low,Excellent,Low Risk,Eligible
148,Charles Jackson,Male,Married,3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,24700000,2.78,0.45,Medium,Fair,Medium Risk,Eligible
